label_quantile,target_high_rate,target,model,params,fold_id,chosen_threshold,validation_selected_macro_f1,validation_accuracy,validation_macro_f1,validation_f1_high,validation_f1_low,validation_precision_macro,validation_recall_macro,validation_auc_roc,validation_mcc,test_accuracy,test_macro_f1,test_f1_high,test_f1_low,test_precision_macro,test_recall_macro,test_auc_roc,test_mcc
0.67,0.24944844830122076,SOL,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",3,0.475,0.608983007428913,0.7791666666666667,0.608983007428913,0.3510204081632653,0.8669456066945607,0.5996530566745361,0.6278430128001693,0.716163005277572,0.22574274739197006,0.7819444444444444,0.6592881944444444,0.4548611111111111,0.8637152777777778,0.6688910396821355,0.6521499701711716,0.7318187554494975,0.32060422111890574
0.67,0.24944844830122076,SOL,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",4,0.575,0.716863204543718,0.8659722222222223,0.716863204543718,0.5113924050632911,0.9223340040241449,0.8037397906425052,0.6812183277027026,0.8013157200168918,0.4692258173502554,0.775,0.5779051589369464,0.2894736842105263,0.8663366336633663,0.6247139588100686,0.5707005189028911,0.7108129864714604,0.18780140151027236
0.67,0.24944844830122076,SOL,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",5,0.475,0.5992158087097675,0.6520833333333333,0.5992158087097675,0.4536532170119956,0.7447784004075395,0.5979216276789466,0.6010445485856247,0.6482457229970074,0.19894166648129577,0.6979166666666666,0.6959776739671176,0.6716981132075471,0.7202572347266881,0.6972995809894206,0.7019134524075108,0.7586704546127588,0.39918637028901277
0.67,0.24944844830122076,SOL,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",6,0.475,0.75919379635042,0.7701388888888889,0.75919379635042,0.707855251544572,0.8105323411562679,0.7551223891974514,0.7737824161922833,0.8367151591819523,0.5285755353371033,0.8208333333333333,0.6720049439392601,0.451063829787234,0.8929460580912864,0.6833811318488265,0.6631794131794132,0.7340200951312063,0.3459712443731017
0.67,0.24944844830122076,SOL,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",7,0.5,0.5507878402037243,0.8298611111111112,0.5507878402037243,0.19672131147540983,0.9048543689320389,0.5883696294647311,0.5449238261738262,0.5649428696303697,0.12601431463320367,0.8472222222222222,0.6174578334202747,0.32098765432098764,0.9139280125195618,0.683064128313202,0.597171128695626,0.8228764696166609,0.2667474308920312
0.67,0.24944844830122076,SOL,SVM,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",8,0.525,0.5494903452229478,0.7513888888888889,0.5494903452229478,0.24789915966386555,0.85108153078203,0.5468059461631177,0.5550609077464896,0.6524485066548765,0.10153182523080306,0.7611111111111111,0.7156084656084656,0.6018518518518519,0.8293650793650794,0.7108974775748309,0.7217806865951042,0.8053122590775454,0.4325412691419008
0.67,0.24944844830122076,SOL,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",0,0.525,0.5874570267736222,0.8777777777777778,0.5874570267736222,0.2413793103448276,0.9335347432024169,0.5971902349147858,0.5804115853658536,0.729760146722561,0.17680747576477268,0.6430555555555556,0.6118997281787979,0.501937984496124,0.7218614718614719,0.6513394730448994,0.6202720491443616,0.682533274828141,0.26982889793006176
0.67,0.24944844830122076,SOL,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",1,0.425,0.6076110990003426,0.6111111111111112,0.6076110990003426,0.6446700507614214,0.5705521472392638,0.6157151247256654,0.6218626908428009,0.6473518018164653,0.23749826500654608,0.6444444444444445,0.5755929081280221,0.4046511627906977,0.7465346534653465,0.5771570426942904,0.5745226650606446,0.593652288694526,0.15165682905529126
0.67,0.24944844830122076,SOL,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",2,0.5,0.6956144366022596,0.71875,0.6956144366022596,0.6116970278044104,0.7795318454001089,0.6953748089517944,0.6958612040133779,0.7526484113712375,0.39123571061538914,0.6763888888888889,0.5739872165691954,0.3651226158038147,0.782851817334576,0.5744005065566404,0.5736044455670624,0.6387446324829502,0.14800281125722045
0.67,0.24944844830122076,SOL,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",3,0.525,0.6035698036878441,0.8020833333333334,0.6035698036878441,0.32304038004750596,0.8840992273281821,0.6021900870546264,0.6050460171374167,0.7169466091501424,0.20721642440708593,0.8027777777777778,0.6647385196552946,0.4496124031007752,0.8798646362098139,0.7009240759240759,0.6476756459088615,0.6874455050250103,0.3445088834310607
0.67,0.24944844830122076,SOL,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",4,0.475,0.6937950627380927,0.8284722222222223,0.6937950627380927,0.49072164948453606,0.8968684759916493,0.7032605050501408,0.6859691722972974,0.791652370143581,0.3888454082789473,0.7486111111111111,0.6009260280013229,0.35815602836879434,0.8436960276338514,0.6082138200782269,0.5961360266864344,0.6925326630837657,0.20399261452201087
0.67,0.24944844830122076,SOL,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",5,0.4,0.5682692101417388,0.6020833333333333,0.5682692101417388,0.4474445515911283,0.6890938686923495,0.5703563233044365,0.5797696346903054,0.6228129411100446,0.14983054706097718,0.6763888888888889,0.6762083800575552,0.6685633001422475,0.683853459972863,0.6862951586953342,0.6885960842535028,0.7407895853857407,0.3748841818232662
