label_quantile,target_high_rate,model,params,mean_threshold,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_high,mean_test_f1_low,mean_test_precision_macro,mean_test_recall_macro,mean_test_auc_roc,mean_test_mcc,folds
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4277777777777778,0.6643210658156499,0.6878086419753087,0.047513794383542286,0.6547589782453305,0.05925585540570297,0.6003820403712748,0.709135916119386,0.6877861316665176,0.663782751542293,0.7527208394422225,0.3480633814143424,9
0.67,0.24944844830122076,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.5361111111111111,0.6639796373537062,0.7521604938271604,0.05570557483990423,0.6560993929646174,0.05050920614473272,0.49183213429581624,0.8203666516334186,0.6851955164968891,0.656335381959964,0.7469833650170173,0.334383675520382,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.34444444444444444,0.6634416890950368,0.777391975308642,0.03899896238639384,0.659130251211479,0.07546318862596009,0.4746742728829056,0.8435862295400524,0.7241339774599657,0.6601281405536708,0.7717660651148674,0.3621493696230246,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4277777777777778,0.6631908604782668,0.6820216049382716,0.06742412255871091,0.6448437030418203,0.08285883441453447,0.5877725052780379,0.7019149008056025,0.6815583844217853,0.655211465143923,0.7470743726803526,0.33213406858043415,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4277777777777778,0.6620895568780304,0.6763888888888889,0.06773325752082739,0.6381289257964325,0.0891892844973197,0.5799576984728023,0.6963001531200627,0.675575563876889,0.6523798677530844,0.7460231306814091,0.32347591304285384,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3361111111111111,0.6615420161848787,0.7753858024691358,0.038711947276886614,0.661736051576214,0.0657506346447688,0.4828393747631672,0.8406327283892606,0.7253893518368074,0.6622929135597042,0.7701058105328467,0.3666449839359658,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.34444444444444444,0.6614103485422489,0.7809413580246913,0.03981885207782379,0.6556474319900318,0.08535342417940077,0.4643710710354701,0.8469237929445934,0.7018620221710559,0.6537907206044398,0.7691848551180975,0.3460128355833116,9
0.67,0.24944844830122076,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",0.5388888888888889,0.6611667121483262,0.7521604938271604,0.05698512736744278,0.6561903901296278,0.04994374099041294,0.49136536221930005,0.8210154180399555,0.6852617620499427,0.6555489196096753,0.7459553916635628,0.3338232872229796,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.3222222222222222,0.6599719778224018,0.7848765432098765,0.0415707486503076,0.6788879841214421,0.04758565422415938,0.5104974786090034,0.847278489633881,0.7214846884314537,0.6694510583529135,0.7696654415373364,0.3829043460770752,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.33055555555555555,0.6597225268491612,0.7763117283950618,0.05149604589312543,0.6621512781841458,0.06378932351492018,0.4822850388678321,0.8420175175004594,0.7097636717632186,0.6565266315232857,0.7638124427057674,0.35476976102099184,9
