params,folds,mean_coverage,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro,mean_test_f1_bull,mean_test_f1_bear,mean_test_precision_bull,mean_test_recall_bull,mean_test_bull_prediction_rate
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.605440639448564,0.6040102946533052,0.1337668187883622,0.5405118612585199,0.15598097177988732,0.5453263411453134,0.5659521879886025,0.5771578589601088,0.503865863556931,0.5293321137906403,0.6451505163754955,0.6012166740078684
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.605362030699961,0.5934614097120403,0.1416168270555845,0.5335093293563858,0.15500648235279343,0.5521300875684145,0.5586499263813052,0.5782813228432113,0.48873733586956053,0.5609041447220275,0.6452869691872883,0.607195764540169
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6052050965108166,0.5951602223728036,0.12490008400792153,0.5241978114157115,0.14019038781080584,0.5363017676432495,0.551716024743183,0.5725621605626735,0.47583346226874973,0.5212715485889461,0.6503377993712417,0.6127870502777604
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6046668304695291,0.5929347854026185,0.11936478624921071,0.5356944476637677,0.12644454750291648,0.5600640285623498,0.5603507998991151,0.5755913410298189,0.4957975542977166,0.569199713095398,0.6313330983552107,0.5877290931649987
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6044742570266501,0.5917401274092546,0.13812938944919753,0.5287266117427429,0.15569939771074087,0.5346055265642535,0.5568657916936045,0.5514085951074437,0.5060446283780422,0.5244970356824529,0.6067050068135307,0.5697507370462601
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6043133625771875,0.599429574943997,0.1421062249888406,0.5618888439903822,0.1380393709702684,0.5875200984728783,0.5764432699991338,0.6279215702757975,0.4958561177049669,0.6031159096226011,0.6847355369801249,0.6182981788518563
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6033595384167971,0.5913496834229391,0.10960406978532272,0.5310797321475892,0.12229606671128243,0.5526071367378209,0.5623869223851056,0.5964947154770315,0.46566474881814685,0.5878387907960525,0.6652838060869466,0.6197458999881663
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.602839076493519,0.6040710725462815,0.12892919792231225,0.5420004629845324,0.1531089096355825,0.5434680898310378,0.5665910904917166,0.573175994129398,0.5108249318396668,0.532932253474534,0.6307672284559658,0.5871052479348364
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6025198581800522,0.6027524958610623,0.13288060021323994,0.5439217879238192,0.14402623447525892,0.5694589671131184,0.5665746341116651,0.5999872871464869,0.4878562887011515,0.5942496535437264,0.6580841854322687,0.6073855095342032
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6024815672863604,0.5934558487341903,0.13696780465476352,0.5315726152659845,0.1556034661226512,0.5343989605998987,0.5574294899327675,0.5579126861191079,0.505232544412861,0.5226437124527348,0.6154299179006155,0.577834926268219
